"word_lowercase","word","difficulty","standard_error","difficulty_lower","difficulty_upper","grade_eq","n_attempts","n_correct","n_incorrect","tasa_sfi","tasa_d","tasa_u","tasa_f","tasa_gr1","tasa_gr2","tasa_gr3","tasa_gr4","tasa_gr5","tasa_gr6","tasa_gr7","tasa_gr8","tasa_gr9","tasa_gr10","tasa_gr11","tasa_gr12","tasa_gr13","Log_Freq_HAL","Freq_SUBTLEXUS","sub_unigram_freq","wiki_unigram_freq","cyplex_7_9_raw_freq","cyplex_7_9_zipf_freq","cyplex_7_9_book_prop","cyplex_10_12_raw_freq","cyplex_10_12_zipf_freq","cyplex_10_12_book_prop","CD_SUBTLEXUS","Prevalence_Brys","Fam_Glasgow","AoA_Kuper","AoA_LWV","DPoS_Brys","POS","Conc_Brys","Imageability","Nmeanings_Websters","Valence_Warr","Valence_NRC","Arousal_Warr","Arousal_NRC","Emot_Assoc_Positive","Emot_Assoc_Joy","Sem_Diversity","Sem_N","NMorph","MorphSp","spelling_pattern","Length","Ortho_N","OLD20","OLD20F","Orth_Spread","BG_Sum","BG_Mean","BG_Frequency_By_Position","pronunciation","NPhon","NSyll","NSyll_ELP","NSyll_Chee","Phono_N","PLD20","PLD20F","First_Phon_bilabial","First_Phon_labiodental","First_Phon_interdental","First_Phon_alveolar","First_Phon_palatal","First_Phon_velar","First_Phon_glottal","First_Phon_stop","First_Phon_fricative","First_Phon_affricate","First_Phon_nasal","First_Phon_liquid","First_Phon_glide","First_Phon_voiced","Phonographic_N","Phonographic_N_Freq","spell2pron","Consistency_Token_FF_O","Consistency_Token_FF_R","Consistency_Token_FB_O","Consistency_Token_FB_R","Siegelman_OSC","Marelli_OSC"
"abolished","abolished",3.01499210551204,0.469754936729254,2.0942724295227,3.93571178150138,4.849,29,18,11,42.9000015258789,0.331200003623962,1,69,NA,NA,NA,NA,0,0,1,1,2,3,4,5,4,7.285,1.322219295,882,37633,13,3.1,0.02,38,3.25,0.05,1.278753601,NA,NA,NA,NA,"Verb","VB",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.771616821,1478,2,"{abolish}>ed>","abolished",9,1,3.4,6.553,0,32019,4002.375,3971,"@.b""A.lISt",7,3,3,3,0,3.1,6.751,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.14814814814815,0.969631357,0.484151775,0.921690131,0.638328448,NA,NA
"about","about",-3.27512134705943,0.0981636663857755,-3.46752213317555,-3.08272056094331,1.867,1907,1631,276,74.0999984741211,0.980700016021729,2556,44833,1862,2540,3031,3028,3067,2966,2906,2810,2720,2472,2352,2189,1665,14.083,5.267657397,2488520,3259735,30388,6.43,0.99,60814,6.44,1,3.920227711,2.575829304,NA,5.070761,5.302132121,"Preposition","minor|RB|JJ",1.77,225,7,NA,NA,NA,NA,NA,NA,2.266162867,9599,1,"{about}","about",5,1,1.85,7.669,1,9123,2280.75,857,"@.b""aUt",4,2,2,2,3,1.95,7.353,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.44,0.970907285,0.661069693,0.948078903,0.610687192,0.0216567505619033,0.994313200876248
"above","above",-1.25568358273249,0.506102964017125,-2.24764539220605,-0.263721773258925,2.289,43,29,14,64,0.981500029563904,253,4447,82,156,195,231,286,293,301,305,307,300,288,274,183,12.089,3.396896449,49098,502330,3593,5.51,0.87,6029,5.44,0.96,3.250175948,2.442826326,NA,4.548568,4.791637727,"Preposition","minor|JJ|NN",3.33,346,4,NA,NA,NA,NA,NA,NA,2.24012314,8495,1,"{above}","above",5,1,1.95,7.669,1,8105,2026.25,1061,"@.b""Vv",4,2,2,2,1,1.95,7.966,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.14814814814815,0.970907285,0.28416569,0.948078903,0.406441478,0.121191197932687,0.999700172037228
"abroad","abroad",4.5818807909114,0.461120380441997,3.67808484524509,5.48567673657771,7.011,35,11,24,50.9000015258789,0.622600018978119,12,299,0,NA,1,3,6,7,7,8,9,12,12,16,30,8.697,2.399673721,10402,67117,54,3.69,0.09,180,3.92,0.2,2.309630167,2.326820684,6.03,10.15415,8.671641818,"Adverb","RB|NN",2.72,NA,4,NA,0.677,NA,0.596,0,0,1.935166505,5931,1,"{abroad}","abroad",6,0,2.55,7.413,0,10351,2070.2,1066,"@.br""Od",5,2,2,2,1,1.95,7.526,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.17241379310345,0.966895362,0.225238449,0.978751303,0.259577675,0.0356192168448398,1
"abrupt","abrupt",2.08183241190793,0.600406530292453,0.905035612534722,3.25862921128114,3.944,22,12,10,45.4000015258789,0.828800022602081,3,69,NA,0,0,0,1,2,3,3,4,4,4,4,5,6.578,1.770852012,964,6354,42,3.58,0.09,78,3.56,0.15,1.755874856,2.338492735,5.235,10.95,10.81691818,"Adjective","JJ",2.27,362,4,3.28,0.271,5.23,0.819,0,0,1.833039784,0,1,"{abrupt}","abrupt",6,0,2.7,7.768,0,5926,1185.2,724,"@.br""Vpt",6,2,2,2,0,2.55,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.85714285714286,0.966895362,0.661069693,0.978751303,0.432470181,NA,0.725862778825593
"abruptly","abruptly",3.50505606134052,0.421808747516824,2.67831091620755,4.33180120647349,5.432,36,13,23,49.9000015258789,0.719299972057343,9,211,NA,2,8,8,9,10,10,9,8,7,7,7,7,7.115,1.662757832,1218,10687,204,4.26,0.24,418,4.28,0.4,1.643452676,2.244875605,NA,NA,NA,"Adverb","RB",2.36,NA,2,NA,0.25,NA,0.808,0,0,1.425495239,627,2,"{abrupt}>ly>","abruptly",8,0,3.65,6.448,0,10709,1529.857,1202,"@.br""Vpt.li",8,3,3,3,0,3.7,6.183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.35714285714286,0.966956741,0.726731596,0.942138398,0.472086018,NA,NA
"absence","absence",2.11969242430684,0.546369314786651,1.048808567325,3.19057628128868,3.976,28,22,6,53,0.975799977779388,19,350,1,0,1,1,4,8,10,12,13,20,22,24,48,8.896,2.509202522,8200,67337,89,3.9,0.13,270,4.09,0.34,2.456366033,2.253230737,NA,7.7,7.862379394,"Noun","NN",2.31,NA,3,3.86,0.153,4.3,0.235,0,0,2.161783589,6934,2,"{abs--ence}","absence",7,0,2.65,7.259,0,18809,3134.833,2453,"""ab.sn=s",5,2,2,2,2,2.65,7.154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,3.11111111111111,0.765477604,0.799278995,0.706437295,0.66773191,0.209355964496362,1
"absent","absent",1.02533231064887,0.589841637239411,-0.130757298340375,2.18142191963812,3.196,26,13,13,47.7000007629395,0.965499997138977,5,104,0,0,0,1,2,3,3,4,4,5,6,7,10,8.013,2.120573931,4352,29005,82,3.87,0.14,201,3.96,0.31,2.049218023,2.172738558,NA,6.5,6.747558889,"Adjective","JJ",2.7,NA,3,4.1,0.177,3.72,0.221,0,0,2.116734157,3976,2,"{abs--ent}","absent",6,1,1.95,6.556,1,18959,3791.8,2538,"""ab.sn=t",5,2,2,2,1,2.7,7.397,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1.51851851851852,0.765477604,0.696042159,0.706437295,0.745011923,0.0469642167844461,0.917682002442547
"absolute","absolute",2.0184355004224,0.468440845695988,1.10029144285826,2.93657955798654,3.891,33,16,17,53.2999992370605,0.939100027084351,21,387,NA,1,1,4,7,11,10,12,14,18,16,23,54,9.732,2.761927838,12293,50359,278,4.4,0.25,328,4.18,0.4,2.691965103,2.260634451,NA,8.53,8.53,"Adjective","JJ|NN",1.81,268,9,5.43,0.526,3.48,0.51,1,0,2.109460162,4823,1,"{absolute}","absolute",8,0,2.9,6.971,0,18341,2620.143,2275,"""ab.s@.l%ut",7,3,3,3,0,3.6,6.193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.44827586206897,0.832678236,0.736160247,0.760595726,0.68967106,0.0162381649204164,NA
"absolutely","absolutely",0.630704956765748,0.423600949390492,-0.199552904039616,1.46096281757111,2.98,36,24,12,53.0999984741211,0.858799993991852,20,397,0,8,15,18,26,22,21,21,17,18,19,19,15,10.518,3.761175813,53406,51130,1035,4.97,0.63,1357,4.79,0.73,3.517459827,2.334582964,NA,7.084934,8.18695,"Adverb","RB",1.97,NA,1,NA,NA,NA,NA,NA,NA,1.941251074,2752,2,"{absolute}>ly>","absolutely",10,0,3.85,6.075,0,25906,2878.444,2892,"%ab.s@.l""ut.li",9,4,4,4,0,4.7,5.583,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.62068965517241,0.639665451,0.796469961,0.778558005,0.724038217,NA,NA
"absorb","absorb",1.26664745867179,0.514701575991291,0.25783236972886,2.27546254761472,3.344,31,17,14,51.5,0.709999978542328,14,325,NA,NA,1,4,6,13,13,13,16,18,18,22,20,7.933,2.008600172,2708,10879,34,3.49,0.07,78,3.56,0.13,1.968482949,2.575829304,5.033,8.83,9.063929293,"Verb","VB",3.11,NA,4,5.5,0.469,4.27,0.558,NA,NA,1.961696508,257,2,"{ab--sorb}","absorb",6,0,2.55,7.423,0,9712,1942.4,1528,"@b.z""Orb",6,2,2,2,0,2.5,7.076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.70833333333333,0.765477604,0.638403719,0.706437295,0.546698283,0.440952689987766,0.878174114799782
"absorbed","absorbed",3.29074367231603,0.402490071562873,2.5018631320528,4.07962421257926,5.167,35,19,16,53.5,0.825900018215179,22,448,NA,0,2,3,9,16,17,17,19,22,23,29,40,7.991,1.897627091,3130,31146,78,3.85,0.14,235,4.03,0.31,1.857332496,2.191458847,NA,NA,9.063929293,"Verb","VB|JJ",2.44,NA,NA,NA,0.49,NA,0.471,1,0,1.990717386,2935,3,"{ab--sorb}>ed>","absorbed",8,2,2.55,6.01,2,19722,2817.429,2972,"@b.z""Orbd",7,2,2,2,2,2.55,6.968,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.963,2.39285714285714,0.765477604,0.638403719,0.706437295,0.546698283,0.163251670101332,NA
"absorbing","absorbing",1.9014267362197,0.518885747962601,0.884410670213002,2.9184428022264,3.797,27,16,11,44.4000015258789,0.703299999237061,2,64,NA,NA,NA,0,0,1,1,1,2,2,2,5,6,6.838,1.380211242,966,7617,11,3.03,0.02,43,3.3,0.09,1.342422681,2.429897515,NA,NA,9.063929293,"Verb","VB|JJ",3.33,NA,1,NA,0.49,NA,0.49,0,0,1.99885091,0,3,"{ab--sorb}>ing>","absorbing",9,0,3.1,6.633,0,34382,4297.75,4873,"@b.z""Orb.IN",8,3,3,3,0,3,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.30434782608696,0.756930342,0.61226159,0.921897938,0.623169303,0.27516768420418,NA
"abstract","abstract",1.26361190230629,0.531466061197931,0.221938422358345,2.30528538225423,3.343,37,26,11,47.4000015258789,0.356099992990494,5,195,NA,NA,0,0,1,2,1,1,1,2,3,5,25,9.06,2.049218023,1968,40486,11,3.03,0.03,29,3.14,0.07,1.919078092,2.575829304,4.771,11.47,11.01772727,"Adjective","JJ|NN|VB",1.45,NA,6,5.25,0.438,3.96,0.292,0,0,1.662675647,3467,2,"{abs--tract}","abstract",8,0,2.65,6.583,0,23922,3417.429,3855,"""ab.strakt",8,2,2,2,0,2.65,6.373,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.60714285714286,0.989973697,0.855437522,0.998500212,0.922773036,-0.0361330187738734,0.974397262240866
"absurd","absurd",3.13680670157441,0.506192467886601,2.14466946451667,4.12894393863215,4.986,23,15,8,46.5999984741211,0.668799996376038,4,105,0,0,1,1,2,2,2,3,3,4,5,6,7,8.514,2.695481676,6242,16122,71,3.81,0.11,137,3.8,0.21,2.599883072,2.335463304,4.793,10.5,10.49858384,"Adjective","JJ|NN",1.64,NA,1,4.45,0.188,4.02,0.656,0,0,1.887862472,0,1,"{absurd}","absurd",6,0,2.7,7.576,0,8077,1615.4,1199,"@b.s""3`d",5,2,2,2,0,2.65,7.516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.42857142857143,0.765477604,0.638403719,0.706437295,0.051987554,NA,0.809037560500655
"abundance","abundance",2.84147464269867,0.426037697647516,2.00644075530954,3.6765085300878,4.661,37,21,16,49.0999984741211,0.833100020885468,8,163,NA,0,0,0,1,3,3,3,5,11,12,15,17,7.509,1.662757832,1555,17436,19,3.25,0.04,64,3.47,0.09,1.62324929,2.316482939,4.559,10.45,10.33355,"Noun","NN",2.21,386,1,6.67,0.812,4.72,0.69,1,1,1.838264225,1164,2,"{abund--ance}","abundance",9,0,3.55,6.713,0,23138,2892.25,2730,"@.b""Vn.4@ns",8,3,3,3,1,3.1,6.202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1.89285714285714,0.969599574,0.74868211,0.811295454,0.264833558,NA,NA
"abundant","abundant",3.18213788273556,0.59412051916993,2.0176616651625,4.34661410030862,5.039,17,12,5,51,0.854700028896332,12,249,NA,NA,0,0,2,5,5,9,9,15,17,21,26,7.231,1.477121255,1216,21122,14,3.13,0.02,52,3.38,0.06,1.431363764,2.184818624,5.094,12.84,12.84,"Adjective","JJ",2.83,443,1,7.55,0.958,4.21,0.59,1,1,1.677033547,1360,2,"{abund--ant}","abundant",8,0,3.35,6.447,0,23288,3326.857,2793,"@.b""Vn.4@nt",8,3,3,3,1,2.75,5.998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.40740740740741,0.969599574,0.747754911,0.811295454,0.181504607,NA,NA
"abuse","abuse",0.620880345168261,0.52252999938346,-0.403278453623321,1.64503914395984,2.975,24,13,11,50,0.52020001411438,9,295,NA,0,0,1,1,2,3,3,4,6,6,11,29,10.163,2.719331287,11620,83341,19,3.25,0.04,88,3.61,0.14,2.612783857,2.445891737,5.303,8.61,9.210494444,"Noun","VB",2.71,NA,6,1.53,0.071,6.21,0.873,0,0,1.66470644,5054,1,"{abuse}","abuse",5,2,1.8,7.742,2,10138,2534.5,1430,"@.bj""uz",5,2,2,2,2,1.85,6.806,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.468,1.88461538461538,0.50847181,0.545987924,0.976045244,0.35897214,0.469419766444387,0.980918503136475
"abused","abused",1.36201618850267,0.364967568578589,0.646679754088636,2.0773526229167,3.406,53,30,23,45.2000007629395,0.630599975585938,3,83,NA,NA,0,0,0,1,2,3,3,4,3,4,6,8.706,2.365487985,4998,14976,8,2.9,0.02,31,3.16,0.06,2.267171728,NA,NA,NA,NA,"Verb","VB|JJ",NA,NA,NA,NA,0.021,NA,0.874,NA,NA,1.643477151,39,2,"{abuse}>ed>","abused",6,3,1.85,7.049,2,18222,3644.4,2516,"@.bj""uzd",6,2,2,2,2,2.25,7.129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.728,2.19230769230769,0.50847181,0.585456364,0.976045244,0.631448073,0.34938610611289,1
"academic","academic",4.04313325078942,0.401800221880275,3.25560481590408,4.83066168567476,6.167,41,14,27,50.7000007629395,0.819199979305267,11,239,NA,NA,0,0,0,0,0,0,0,2,4,5,53,9.777,2.378397901,3928,222814,29,3.43,0.05,72,3.52,0.09,2.260071388,2.325396632,6.2,9.74,9.74,"Adjective","JJ|NN",2.11,NA,2,6.61,0.781,3.32,0.42,1,0,1.589361935,6838,2,"{academ--ic}","academic",8,0,3.3,6.035,0,22637,3233.857,2830,"%a.k@.d""E.mIk",8,4,4,4,0,3.35,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1.75862068965517,0.855628039,0.539751231,0.750932179,0.685619951,0.136038975142002,NA
"academy","academy",0.830542013675777,0.500130047772549,-0.149712879958419,1.81079690730997,3.086,29,20,9,49.5,0.861400008201599,8,171,1,1,2,2,5,7,7,7,7,8,10,9,10,9.397,2.802089258,13614,353096,132,4.07,0.09,482,4.34,0.18,2.539076099,2.440157713,NA,9.05,9.05,"Noun","NN",4.29,504,5,5.32,0.704,3.77,0.473,1,0,1.608569492,6408,2,"{academ--y}","academy",7,0,3.15,6.931,0,15649,2608.167,1996,"@.k""a.4@.mi",7,4,4,4,1,2.8,6.703,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.62962962962963,0.855628039,0.522283438,0.750932179,0.552815391,0.197102182301242,NA
"acceleration","acceleration",2.68626599996032,0.559184304705263,1.590264762738,3.78226723718264,4.501,18,12,6,47,0.513899981975555,5,149,NA,NA,0,0,0,2,3,3,5,8,8,8,9,8.344,1.653212514,1255,17071,26,3.38,0.03,22,3.02,0.04,1.579783597,2.171419218,NA,9.84,10.1892,"Noun","NN",2.97,486,1,6.19,0.704,6.73,0.905,0,0,1.437781912,917,4,"{ac--celer--ate}>ion>","acceleration",12,0,3.2,6.368,0,65382,5943.818,8503,"@k.s%E.l@`.r""e.Sn=",10,5,5,5,0,3.65,6.286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,3.40740740740741,0.760330308,0.626248822,0.835448909,0.682410426,0.716314990054334,NA
"accent","accent",3.30512390658932,0.455327209098803,2.41268257675567,4.19756523642297,5.184,28,15,13,47.5,0.813700020313263,5,114,NA,1,3,3,5,5,6,6,8,6,6,5,2,8.559,2.793790385,14971,20359,192,4.24,0.24,428,4.29,0.41,2.651278014,2.107626712,5.875,8.6,8.397831313,"Noun","NN",3.26,NA,7,6.48,0.598,4.95,0.357,0,0,1.662172178,1171,1,"{accent}","accent",6,2,1.85,8.141,2,18479,3695.8,2509,"""ak.sEnt",6,2,2,2,0,2.2,9.023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,3.18518518518519,0.703314227,0.556517475,0.672940001,0.778243256,0.143554267513473,0.956748951480428
"accept","accept",0.503959182901734,0.413166168183423,-0.305846506737775,1.31376487254124,2.917,50,35,15,57.0999984741211,0.91159999370575,51,960,0,8,14,14,28,35,37,42,46,59,62,73,100,10.808,3.430236353,59658,108060,272,4.39,0.34,640,4.47,0.6,3.269979677,2.312835097,6.194,6.74,7.304461515,"Verb","VB",3.03,NA,4,6.39,0.847,2.8,0.286,0,0,2.079484931,6416,2,"{a--ccept}","accept",6,1,2.35,7.502,1,7789,1557.8,1310,"@k.s""Ept",6,2,2,2,1,2.3,8.041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.5,0.703314227,0.602877887,0.672940001,0.675798574,0.0859586478872168,0.881497150281924
"acceptable","acceptable",1.19054619769653,0.530746539521749,0.150282980233902,2.23080941515916,3.296,36,30,6,52,0.880200028419495,15,306,NA,NA,0,0,1,3,5,7,8,12,16,23,52,9.703,2.431363764,4447,54594,14,3.13,0.03,95,3.64,0.15,2.387389826,2.336337007,NA,9.84,9.84,"Adjective","JJ",1.93,288,1,6.59,0.812,3.65,0.286,1,0,2.078760964,3531,3,"{a--ccept}>able>","acceptable",10,1,3.6,6.193,0,22129,2458.778,2522,"@k.s""Ept.@.bl=",9,4,4,4,0,3.4,6.961,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.85185185185185,0.70947616,0.641210958,0.832703941,0.520109203,NA,NA
